ID,PV_mean,PV_std,PV_count,NPV_mean,NPV_std,NPV_count,BS_mean,BS_std,BS_count
WAAGAS0002-58421,25.19,2.19,16,47.06,1.89,16,26.19,2.83,16
WAAGVD0001-56960,22.87,2.58,15,49.53,3.34,15,26.33,4.77,15
WAAHAM0001-56964,44.87,6.49,15,15.13,7.95,15,38.87,6.46,15
WAAHAM0002-56941,25.94,2.05,16,48.56,4.78,16,24.06,5.12,16
WAAHAM0003-56959,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
WAAHAM0004-56942,31.14,2.17,14,44.50,5.67,14,23.07,6.53,14
WAAHAM0005-56961,46.56,2.32,16,31.69,6.88,16,20.50,6.60,16
WAAHAM0006-56944,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
WAAMUR0004-58813,19.50,2.21,16,31.44,3.82,16,47.81,5.14,16
WAAMUR0005-58761,12.00,1.54,16,30.38,3.26,16,56.38,3.92,16
WAAMUR0006-58763,14.18,1.72,17,38.06,1.92,17,46.47,2.87,17
WAAMUR0007-58812,23.62,2.96,16,42.25,3.05,16,32.75,5.60,16
WAAMUR0008-58765,13.41,2.22,17,30.18,4.26,17,55.12,5.88,17
WAAMUR0028-53572,13.93,3.11,15,41.40,1.89,15,43.33,4.24,15
WAAMUR0029-53573,9.82,2.73,17,47.00,4.00,17,41.82,2.85,17
WAAMUR0030-53464,19.69,1.21,16,37.81,1.67,16,41.00,2.24,16
WAAMUR0031-53465,13.87,1.82,15,42.80,2.86,15,41.87,2.50,15
WAANUL0001-56966,24.31,3.92,16,34.19,3.84,16,40.00,4.72,16
WAANUL0002-56945,25.30,2.97,10,43.00,2.05,10,30.60,4.63,10
WAANUL0003-56946,19.25,1.39,16,41.56,2.29,16,37.81,2.58,16
WAANUL0004-56967,20.00,1.54,16,41.31,2.93,16,37.44,2.98,16
WAANUL0005-56931,19.94,4.97,16,45.62,2.57,16,32.94,5.52,16
WAANUL0006-56929,19.33,2.18,15,35.60,3.18,15,43.73,3.77,15
WAANUL0008-56933,7.83,1.82,12,33.00,2.12,12,57.75,1.23,12
WAANUL0009-56934,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
WAAPIL0001-57619,29.88,2.60,16,43.25,1.98,16,25.50,4.33,16
WAAPIL0002-57620,20.62,4.34,16,47.81,2.65,16,30.38,5.86,16
WAAPIL0003-57601,4.13,2.12,15,30.13,3.16,15,64.07,2.91,15
WAAPIL0004-57085,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
WAAPIL0006-57600,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
WAAPIL0007-57602,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
WAAPIL0008-57605,11.50,1.94,16,54.88,2.62,16,32.19,2.21,16
WAAPIL0009-57606,24.25,0.83,4,44.25,1.09,4,30.25,1.30,4
WAAPIL0010-57607,17.81,2.63,16,30.12,2.37,16,50.50,4.24,16
WAAPIL0011-57608,14.73,1.91,15,39.07,2.24,15,44.73,3.49,15
WAAPIL0012-57609,20.75,1.42,12,35.50,3.82,12,42.25,4.51,12
WAAPIL0013-57610,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
WAAPIL0014-57611,24.06,3.45,16,49.12,2.12,16,25.38,4.68,16
WAAPIL0015-57613,19.07,1.34,15,46.80,1.80,15,32.53,1.82,15
WAAPIL0016-57615,46.80,1.89,10,38.30,1.27,10,13.30,2.41,10
WAAPIL0018-57617,30.69,1.79,16,52.69,1.89,16,15.38,1.93,16
WAAPIL0019-57614,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
WAAPIL0021-58034,15.75,1.48,4,48.00,3.54,4,34.75,4.44,4
WAAPIL0023-58036,18.33,2.36,9,47.44,2.22,9,33.22,2.74,9
WAAPIL0026-58044,14.69,2.66,16,36.81,4.07,16,46.88,5.69,16
WAAPIL0028-58042,16.67,1.43,12,30.00,4.88,12,51.58,5.71,12
WAAPIL0029-58045,23.00,1.53,6,46.33,2.29,6,29.33,2.36,6
WAAPIL0030-58057,6.18,1.65,17,50.76,5.53,17,41.76,5.80,17
WAAPIL0031-58415,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
WAAPIL0032-58416,0.67,1.05,9,41.44,3.13,9,56.78,3.52,9
WAAPIL0033-58417,4.65,3.20,17,54.71,4.52,17,39.41,5.49,17
WAAPIL0034-58418,11.88,1.45,16,45.50,2.40,16,41.25,2.38,16
WAAPIL0035-58419,14.44,1.66,16,42.62,2.78,16,41.56,2.83,16
WAAVIB0002-58497,17.00,1.70,16,49.38,3.30,16,32.31,4.25,16
WAAYAL0002-58818,26.53,7.26,17,37.18,5.77,17,35.00,5.50,17
WAAYAL0003-58780,38.47,3.44,15,28.93,7.18,15,31.20,6.27,15
WAAYAL0006-58766,16.94,3.03,16,49.06,3.85,16,32.56,4.18,16
WAAYAL0007-58819,16.81,1.59,16,40.00,2.26,16,41.81,2.88,16
WAAYAL0008-58814,19.44,1.27,16,51.12,2.00,16,28.19,2.58,16
WAGCOO0001-53613,24.20,2.48,5,40.60,3.72,5,33.40,5.46,5
WAGCOO0002-53614,12.29,0.96,14,53.14,2.39,14,33.14,2.20,14
WAGCOO0004-53615,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
