ID,PV_mean,PV_std,PV_count,NPV_mean,NPV_std,NPV_count,BS_mean,BS_std,BS_count
NTAMGD0002-53466,32.75,1.52,16,19.69,2.82,16,46.38,2.52,16
NTAMGD0004-58432,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NTAMGD0005-58495,23.75,3.90,16,27.06,15.03,16,47.06,11.48,16
NTAPCK0001-58037,30.73,1.54,11,68.82,1.75,11,0.00,0.00,11
NTAPCK0002-58038,40.00,0.00,3,50.67,4.50,3,8.67,4.78,3
NTASSD0001-53690,17.65,1.97,17,28.24,5.09,17,52.71,4.23,17
NTASSD0003-53691,18.12,1.80,16,31.69,3.16,16,48.75,2.41,16
NTASSD0006-53694,14.12,1.22,16,3.62,3.77,16,80.69,3.14,16
NTASSD0008-57074,18.53,1.38,17,1.41,1.65,17,78.76,1.96,17
NTASSD0009-53696,17.88,1.08,17,7.47,3.97,17,73.06,3.44,17
NTASSD0010-53697,16.00,1.50,17,11.00,4.46,17,71.41,3.57,17
NTASSD0011-53559,21.94,4.26,16,73.06,10.48,16,3.94,6.76,16
NTASSD0012-53560,5.00,1.84,16,94.25,1.92,16,0.00,0.00,16
NTASSD0013-53563,40.29,4.23,17,57.53,4.56,17,0.00,0.00,17
NTASSD0014-53564,2.27,2.00,11,14.36,8.49,11,82.00,6.84,11
NTASSD0015-53565,12.78,1.31,18,21.78,4.52,18,64.17,4.62,18
NTASSD0016-53566,0.00,0.00,18,42.61,5.52,18,56.39,5.41,18
NTASSD0017-53561,4.44,2.15,16,87.94,4.97,16,5.25,3.75,16
NTASSD0018-53562,2.19,1.33,16,36.19,3.50,16,60.19,2.19,16
NTASSD0019-53567,11.06,1.52,16,4.69,3.29,16,82.50,2.94,16
NTASTU0001-58428,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
NTASTU0002-58429,48.75,2.63,16,33.94,3.21,16,15.81,2.46,16
NTASTU0003-58430,34.62,2.29,16,19.38,5.37,16,44.81,5.77,16
NTASTU0004-58426,50.94,3.70,16,44.12,2.32,16,3.56,1.73,16
NTASTU0005-58427,54.08,3.12,12,42.42,2.10,12,2.50,1.38,12
NTTDAB0001-53580,56.81,2.19,16,39.94,1.71,16,1.88,1.17,16
NTTDAC0001-53755,42.38,1.96,16,17.56,5.74,16,39.50,6.12,16
NTTDMR0001-53582,40.88,4.34,16,43.50,4.66,16,14.38,4.50,16
NTTDMR0003-53583,48.31,2.64,16,39.50,2.72,16,10.81,1.18,16
NTTMGD0001-53521,49.25,3.85,16,38.19,4.10,16,11.38,2.20,16
NTTPCK0001-53584,71.56,3.32,16,24.12,2.85,16,3.00,2.57,16
QDABBS0001-58708,12.36,1.30,11,72.73,3.16,11,13.91,3.73,11
QDABBS0003-58709,37.00,3.37,16,54.06,1.71,16,7.88,2.12,16
QDABBS0004-58726,30.12,1.91,17,59.41,2.47,17,9.47,2.79,17
QDABBS0005-58747,37.88,4.27,16,55.69,3.87,16,5.19,1.51,16
QDACHC0001-53592,11.53,3.07,15,31.20,5.56,15,55.87,7.76,15
QDACHC0002-53593,12.17,2.19,6,26.17,3.89,6,60.50,5.38,6
QDACHC0003-53467,13.33,1.70,3,52.00,4.08,3,33.33,3.40,3
QDACHC0004-53468,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDACHC0005-53522,6.24,1.21,17,93.24,1.00,17,0.00,0.00,17
QDACHC0006-53469,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDACHC0007-53517,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDACYP0001-58585,39.20,2.34,15,0.67,1.40,15,59.80,3.15,15
QDACYP0004-58588,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDACYP0005-58589,48.12,1.58,16,42.50,1.17,16,8.00,1.32,16
QDACYP0006-58591,49.62,2.20,16,43.25,1.95,16,5.94,1.30,16
QDACYP0007-58592,52.60,4.92,5,41.40,2.42,5,4.60,5.12,5
QDACYP0009-58594,55.94,4.19,16,40.62,3.55,16,2.31,1.31,16
QDACYP0010-58595,46.69,6.69,16,38.88,11.50,16,13.12,15.94,16
QDACYP0013-58598,18.33,1.14,15,79.47,1.31,15,0.00,0.00,15
QDACYP0017-58602,20.19,1.01,16,79.06,1.03,16,0.00,0.00,16
QDACYP0019-58604,38.44,1.71,18,14.56,7.40,18,46.50,8.28,18
QDACYP0021-58606,23.81,1.74,16,74.81,1.47,16,0.00,0.00,16
QDACYP0022-58607,40.41,4.80,17,38.41,4.35,17,20.00,4.97,17
QDAEIU0001-53470,16.56,4.18,16,71.31,8.91,16,11.25,9.97,16
QDAEIU0002-53523,7.38,1.41,16,76.69,10.63,16,15.19,9.88,16
QDAEIU0004-53524,29.75,3.38,16,53.19,7.16,16,15.69,8.99,16
QDAEIU0005-53472,12.56,1.90,16,53.56,3.61,16,32.31,3.33,16
QDAEIU0006-53473,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDAEIU0007-53474,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDAGUP0001-53526,22.19,4.50,16,66.06,3.93,16,10.50,2.87,16
QDAGUP0002-53475,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDAGUP0003-53527,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDAGUP0004-53476,21.25,2.44,16,48.44,3.77,16,28.88,5.40,16
QDAGUP0005-53528,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDAGUP0006-53477,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDAGUP0007-53478,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDAGUP0008-53529,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDAGUP0009-53530,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDAGUP0010-53479,27.75,2.02,16,43.88,4.09,16,26.88,3.98,16
QDAGUP0011-53531,24.53,5.15,17,46.65,5.10,17,27.65,4.92,17
QDAGUP0013-53532,0.38,0.86,16,73.38,4.92,16,25.19,5.28,16
QDAGUP0014-53480,11.25,1.56,16,72.19,3.56,16,15.12,4.14,16
QDAGUP0015-53533,17.06,2.77,16,76.81,4.11,16,5.06,2.28,16
QDAGUP0016-53481,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDAGUP0017-53568,18.43,5.25,14,41.64,8.32,14,38.36,9.81,14
QDAGUP0018-53482,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDAGUP0019-53534,15.42,8.04,12,20.42,16.40,12,63.25,9.63,12
QDAGUP0020-53483,21.88,4.61,16,59.75,9.50,16,17.25,11.59,16
QDAGUP0022-53484,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDAGUP0024-53485,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDAGUP0025-53537,32.06,5.18,16,50.06,4.83,16,16.50,3.00,16
QDAGUP0026-53486,23.62,3.97,16,57.62,5.01,16,17.56,4.42,16
QDAGUP0027-53538,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDAGUP0028-53487,28.33,1.93,12,53.83,2.61,12,16.50,3.30,12
QDAGUP0029-53488,18.00,2.81,16,53.50,3.00,16,27.00,4.51,16
QDAGUP0031-53490,21.88,1.64,17,53.00,3.45,17,23.65,4.54,17
QDAMGD0001-53586,12.62,1.00,13,63.15,3.96,13,22.92,4.23,13
QDAMGD0002-53587,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDAMGD0003-53491,20.44,2.15,16,55.62,6.59,16,22.62,7.47,16
QDAMGD0004-53588,14.22,1.47,9,30.33,7.51,9,54.00,7.29,9
QDAMGD0005-53589,32.12,4.00,16,23.94,5.03,16,42.81,6.60,16
QDAMGD0006-53492,9.75,2.36,16,53.50,4.49,16,35.31,4.04,16
QDAMGD0007-53590,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDAMGD0008-53493,6.33,1.11,6,41.00,5.03,6,51.17,5.24,6
QDAMGD0009-53494,29.62,3.98,16,48.81,2.98,16,20.31,5.52,16
QDAMGD0011-53495,0.77,1.05,13,60.92,4.58,13,37.23,3.70,13
QDAMGD0012-53496,28.50,1.06,16,45.12,1.87,16,25.12,2.06,16
QDAMGD0013-53539,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDAMGD0014-53497,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDAMGD0015-53540,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDAMGD0016-53498,8.33,3.40,6,58.00,3.37,6,32.33,4.19,6
QDAMGD0017-53499,4.69,1.89,16,69.81,6.34,16,24.31,5.82,16
QDAMGD0018-53541,4.12,2.12,16,71.31,5.18,16,23.44,3.77,16
QDAMGD0019-53542,0.94,1.30,16,57.62,4.09,16,40.38,3.79,16
QDAMGD0020-53500,15.88,2.93,16,40.69,4.92,16,42.12,5.74,16
QDAMGD0021-53543,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDAMGD0022-53501,2.62,1.65,16,76.44,7.02,16,19.88,5.91,16
QDAMGD0023-53544,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDAMGD0024-53502,1.23,1.42,13,39.08,3.85,13,58.54,2.82,13
QDAMGD0025-53545,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDAMGD0026-53503,24.62,4.03,16,43.94,5.04,16,30.12,6.13,16
QDAMGD0027-56936,37.47,1.82,17,31.94,3.65,17,29.41,3.11,17
QDAMGD0028-56937,37.19,2.27,16,40.75,3.38,16,20.88,2.62,16
QDAMII0001-53504,10.50,2.00,16,39.12,2.98,16,48.69,3.69,16
QDAMUL0001-53594,36.36,2.50,14,52.57,1.05,14,9.93,2.12,14
QDAMUL0002-53505,40.65,3.09,17,48.59,2.87,17,9.47,2.66,17
QDAMUL0003-53595,29.69,2.52,16,53.31,2.26,16,15.69,2.39,16
QDASSD0001-57621,1.81,1.55,16,35.81,3.11,16,60.94,2.41,16
QDASSD0001-58680,3.69,1.99,16,35.25,2.75,16,59.50,2.35,16
QDASSD0002-57622,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDASSD0003-57623,10.47,1.42,17,24.76,3.42,17,63.35,2.57,17
QDASSD0003-58682,15.59,1.75,17,22.29,3.06,17,60.59,3.47,17
QDASSD0004-56913,5.40,1.89,15,36.47,3.96,15,56.80,2.56,15
QDASSD0004-57624,2.00,1.41,15,38.00,3.29,15,58.47,2.90,15
QDASSD0005-56914,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDASSD0005-58684,9.62,2.23,16,36.81,9.57,16,52.25,8.08,16
QDASSD0006-56915,8.83,2.64,12,32.08,2.98,12,57.75,3.22,12
QDASSD0006-57626,14.00,1.73,16,24.38,2.57,16,60.19,1.91,16
QDASSD0006-58685,21.25,0.83,4,17.50,5.59,4,60.25,5.97,4
QDASSD0007-56916,19.12,1.65,16,41.62,2.20,16,37.88,2.69,16
QDASSD0007-57627,10.50,1.06,16,33.12,3.39,16,54.75,3.19,16
QDASSD0007-58686,18.12,2.42,16,37.19,3.17,16,43.38,3.84,16
QDASSD0008-56917,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDASSD0008-57628,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDASSD0008-58687,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDASSD0009-56918,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDASSD0009-57629,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDASSD0009-58688,34.94,6.10,16,47.31,2.87,16,16.44,8.39,16
QDASSD0010-56919,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDASSD0010-58689,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDASSD0011-57631,18.33,1.25,3,14.00,3.74,3,66.33,3.30,3
QDASSD0011-58690,15.00,2.28,15,21.67,2.65,15,61.93,3.04,15
QDASSD0012-56921,5.56,1.46,16,25.25,3.34,16,67.81,3.17,16
QDASSD0012-57632,10.81,1.81,16,32.88,3.59,16,54.75,3.63,16
QDASSD0012-58691,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDASSD0013-56922,10.47,1.75,15,30.27,4.07,15,57.73,3.17,15
QDASSD0013-57633,13.31,1.10,16,21.00,3.26,16,64.44,3.72,16
QDASSD0013-58692,19.12,1.87,16,26.75,4.52,16,53.00,5.39,16
QDASSD0014-56923,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDASSD0014-57634,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
QDASSD0014-58693,9.67,2.33,15,35.13,6.12,15,53.80,5.26,15
QDASSD0015-56924,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
SAABHC0001-58578,10.57,1.92,7,38.29,5.39,7,49.29,5.72,7
SAABHC0001-58793,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
SAABHC0002-58563,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
SAABHC0002-58794,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
SAABHC0003-58577,2.88,2.39,16,17.88,10.08,16,77.69,8.21,16
SAABHC0003-58795,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
SAABHC0004-58564,30.56,6.59,16,40.12,3.33,16,27.94,7.04,16
SAABHC0004-58796,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
SAABHC0005-58797,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
SAABHC0006-58798,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
SAAFLB0006-58619,50.94,2.75,16,43.06,4.10,16,4.75,3.11,16
SAAFLB0007-58620,3.88,1.83,16,35.50,5.23,16,59.25,4.96,16
SAAFLB0008-58621,7.76,2.29,17,59.47,8.09,17,31.82,7.48,17
SAAFLB0030-53506,4.44,1.17,9,18.78,2.94,9,75.56,2.41,9
SAAFLB0030-58617,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
SAAFLB0031-53507,2.12,1.32,16,76.12,13.12,16,20.44,12.81,16
SAAFLB0031-58616,2.33,1.49,6,34.00,3.27,6,62.00,3.06,6
SAAGAW0001-56992,21.12,1.17,16,50.75,1.52,16,26.69,1.69,16
SAAGAW0002-56993,12.06,1.56,16,53.06,2.16,16,33.25,1.92,16
SAAGAW0003-56994,20.88,1.58,16,50.56,2.00,16,27.00,1.90,16
SAAGAW0005-58748,5.31,2.13,13,45.00,3.04,13,47.92,3.17,13
SAAGAW0006-58717,15.27,1.44,15,29.53,4.16,15,53.47,3.12,15
SAAGAW0007-58749,13.50,2.13,14,22.93,6.39,14,61.86,4.66,14
SAAGAW0008-58750,4.19,3.68,16,46.31,41.71,16,48.25,38.24,16
SAAGVD0001-56925,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
SAAGVD0002-56926,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
SAAGVD0003-56927,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
SAAGVD0004-56947,1.69,1.26,16,87.62,9.87,16,8.88,8.99,16
SAANUL0001-56948,10.38,2.15,16,56.38,4.83,16,31.88,4.83,16
SAANUL0002-56949,22.56,2.09,16,45.38,2.60,16,30.69,3.12,16
SAANUL0003-56950,7.19,1.55,16,77.25,8.36,16,14.56,7.25,16
SAANUL0004-56951,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
SAARIV0001-57090,50.81,4.94,16,35.56,2.87,16,12.19,4.42,16
SAARIV0001-58046,48.62,2.83,16,38.75,3.05,16,11.19,3.49,16
SAARIV0002-57091,47.31,3.25,16,36.81,2.96,16,14.62,2.18,16
SAARIV0002-58047,39.12,1.87,16,31.44,3.55,16,28.38,3.37,16
SAARIV0003-57092,35.94,3.80,16,45.62,4.77,16,17.00,4.20,16
SAARIV0003-57612,32.12,2.47,16,39.88,4.53,16,26.94,2.99,16
SAARIV0004-57093,20.00,8.44,8,53.38,19.52,8,24.88,21.83,8
SAARIV0004-58051,21.56,1.37,16,34.12,4.41,16,43.62,5.06,16
SAARIV0006-58053,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
SAARIV0007-57096,26.44,2.18,16,33.00,10.52,16,39.50,11.27,16
SAARIV0007-58054,15.56,6.37,16,57.44,6.31,16,26.00,7.93,16
SAARIV0008-57097,26.21,3.03,14,39.79,12.91,14,32.79,15.14,14
SAARIV0008-58056,4.07,2.26,15,87.67,11.55,15,6.80,10.18,15
SAARIV0009-57089,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
SAARIV0009-58055,15.06,2.28,16,45.94,6.44,16,37.88,6.08,16
SAASTP0001-53719,9.60,2.50,15,62.27,4.93,15,26.67,4.64,15
SAASTP0002-53720,5.31,2.47,16,63.62,4.58,16,29.69,4.19,16
SAASTP0003-53721,1.38,2.55,16,58.06,7.48,16,39.44,5.80,16
SAASTP0004-53722,11.44,3.82,16,43.94,4.08,16,43.12,3.48,16
SAASTP0005-53723,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
SAASTP0006-57066,56.33,3.09,3,34.67,4.50,3,7.00,2.16,3
SAASTP0008-53725,3.81,1.33,16,22.56,3.92,16,72.12,3.41,16
SAASTP0009-53726,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
SAASTP0010-53727,0.12,0.47,17,34.24,3.10,17,64.59,3.07,17
SAASTP0011-53728,0.00,0.00,16,42.62,3.26,16,56.19,3.34,16
SAASTP0012-53729,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
SAASTP0013-53730,0.06,0.23,18,42.22,3.01,18,56.78,2.97,18
SAASTP0014-57067,0.93,1.24,15,34.80,5.17,15,62.93,4.09,15
SAASTP0015-53715,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
SAASTP0017-53717,14.12,3.18,16,49.44,6.78,16,34.88,7.40,16
SAASTP0018-53718,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
SAASTP0019-53731,0.75,0.97,16,39.31,2.97,16,58.81,3.00,16
SAASTP0020-53732,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
SAASTP0021-53733,1.19,1.33,16,35.81,3.96,16,61.50,3.26,16
SAASTP0022-53735,0.47,0.99,19,64.74,3.40,19,33.63,4.16,19
SAASTP0023-53736,1.06,1.75,16,63.69,3.46,16,34.25,3.85,16
SAASTP0024-53737,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels,No valid pixels
SAASTP0025-53734,0.00,0.00,16,51.75,2.90,16,47.50,2.85,16
SAASTP0026-53738,0.00,0.00,16,50.25,1.48,16,48.88,1.41,16
SAASTP0027-53739,0.00,0.00,13,49.23,2.49,13,49.54,2.59,13
SAASTP0028-53740,0.77,0.97,13,47.15,4.67,13,50.85,4.26,13
SAASTP0029-53741,0.00,0.00,16,39.00,4.33,16,60.12,4.46,16
SAASTP0030-56935,3.31,1.93,16,33.06,4.35,16,61.75,2.99,16
SAASTP0031-56938,1.67,1.78,15,37.27,5.28,15,59.67,5.19,15
SAASTP0032-56939,0.00,0.00,17,48.59,4.50,17,50.47,4.50,17
SAASTP0033-58724,1.81,1.63,16,33.75,4.13,16,63.25,3.75,16
SAASTP0034-58751,5.41,1.78,17,22.47,6.14,17,70.65,5.68,17
SASMDD0001-53710,26.25,1.52,16,43.56,1.77,16,28.75,2.11,16
SASMDD0001-58760,20.06,2.11,16,25.06,3.90,16,53.38,4.92,16
SASMDD0002-53711,33.25,2.36,16,47.19,1.47,16,17.94,2.61,16
SASMDD0003-57009,28.12,1.69,16,36.12,5.81,16,34.38,6.24,16
SASMDD0004-56997,4.00,1.75,17,59.06,3.15,17,35.47,2.85,17
SASMDD0004-57013,8.88,1.45,17,56.00,2.43,17,33.65,2.06,17
SASMDD0005-53712,17.47,1.20,15,56.00,1.97,15,24.93,1.91,15
SASMDD0005-57006,16.31,1.21,16,27.81,3.21,16,54.62,2.87,16
SASMDD0008-57638,33.38,2.69,16,48.06,2.38,16,17.06,4.31,16
SASMDD0008-58757,32.69,3.18,16,49.19,4.52,16,16.56,5.33,16
SASMDD0009-57008,25.38,3.02,16,44.50,2.67,16,28.94,4.02,16
SASMDD0011-56998,5.75,1.79,16,60.38,1.96,16,32.62,2.64,16
SASMDD0011-57068,9.00,0.76,14,53.86,1.96,14,35.86,1.51,14
SASMDD0012-56974,16.81,2.21,16,53.56,5.27,16,29.00,5.62,16
SASMDD0013-56979,13.62,1.36,16,55.62,6.60,16,30.06,5.80,16
SASMDD0014-56980,12.44,1.00,16,83.62,3.20,16,3.19,2.81,16
SASMDD0016-57000,29.62,2.71,16,50.06,1.03,16,19.31,2.78,16
SASRIV0001-57603,19.19,1.63,16,35.12,4.04,16,44.44,3.71,16
SASRIV0001-58758,2.50,1.32,16,48.06,5.90,16,48.25,5.80,16
SASRIV0002-57604,22.50,1.41,16,13.19,3.28,16,63.31,3.20,16
SATFLB0004-53705,28.00,2.24,16,35.62,4.87,16,35.00,5.83,16
SATFLB0004-58658,21.50,1.90,16,68.94,9.59,16,8.38,9.29,16
SATFLB0005-53706,35.50,4.65,16,31.25,6.91,16,32.12,11.25,16
SATFLB0005-58656,19.31,1.79,16,38.25,6.68,16,41.50,6.32,16
